"player","g","gs","mp","fg","fga","x3p","x3pa","x2p","x2pa","ft","fta","orb","drb","trb","ast","stl","blk","tov","pf","pts","mpg","fg_percent","x3p_percent","x2p_percent","ft_percent","pts_per_game","hof","pos","years"
"Aaron Gray",387,93,4517,509,1007,0,4,509,1003,217,379,518,889,1407,251,113,106,314,796,1235,11.671834625323,0.505461767626614,0,0.507477567298106,0.572559366754617,3.19121447028424,FALSE,3,7
"Aaron Williams",838,88,13669,1777,3577,1,17,1776,3560,1063,1442,1159,2015,3174,525,320,597,742,2030,4618,16.3114558472554,0.496785015376013,0.0588235294117647,0.498876404494382,0.737170596393897,5.51073985680191,FALSE,3,14
"Acie Earl",240,18,3012,428,1076,0,14,428,1062,312,471,225,388,613,81,78,154,205,412,1168,12.55,0.397769516728625,0,0.4030131826742,0.662420382165605,4.86666666666667,FALSE,3,4
"Adam Keefe",617,98,10334,1120,2230,1,14,1119,2216,866,1213,999,1557,2556,427,307,173,545,1114,3107,16.7487844408428,0.502242152466368,0.0714285714285714,0.504963898916967,0.713932399010717,5.03565640194489,FALSE,3,9
"Adonal Foyle",743,269,13122,1325,2777,0,2,1325,2775,356,713,1310,2177,3487,345,264,1201,600,1580,3006,17.6608344549125,0.477133597407274,0,0.477477477477477,0.49929873772791,4.04576043068641,FALSE,3,12
"Al Harrington",1132,579,33118,6055,13613,1275,3541,4780,10072,2606,3567,1745,4688,6433,1900,1011,292,2168,3565,15991,29.256183745583,0.444795416146331,0.360067777463993,0.474583002382844,0.730585926548921,14.1263250883392,FALSE,3,16
"Alan Henderson",652,220,13780,1976,4215,5,26,1971,4189,1137,1778,1426,1823,3249,397,364,297,717,1436,5094,21.1349693251534,0.468801897983393,0.192307692307692,0.470518023394605,0.639482564679415,7.81288343558282,FALSE,3,12
"Alec Kessler",210,24,2937,425,998,10,24,415,974,224,301,258,493,751,81,39,71,192,451,1084,13.9857142857143,0.425851703406814,0.416666666666667,0.426078028747433,0.744186046511628,5.16190476190476,FALSE,3,4
"Alexander Volkov",149,31,2453,388,853,48,144,340,709,195,318,155,229,384,333,102,52,154,344,1019,16.4630872483221,0.454865181711606,0.333333333333333,0.479548660084626,0.613207547169811,6.83892617449664,FALSE,3,2
"Alexis Ajinça",327,78,4245,704,1416,24,76,680,1340,264,333,363,865,1228,153,113,200,267,734,1696,12.9816513761468,0.497175141242938,0.31578947368421,0.507462686567164,0.792792792792793,5.18654434250764,FALSE,3,7
"Alonzo Mourning",875,703,26677,5216,9913,22,89,5194,9824,4139,6003,2237,5098,7335,964,422,2430,2266,2892,14593,30.488,0.526177746393625,0.247191011235955,0.528705211726384,0.689488589038814,16.6777142857143,TRUE,3,15
"Alton Lister",1017,601,19700,2565,5012,1,9,2564,5003,1310,2190,1911,4365,6276,933,357,1515,1498,3315,6441,19.3706981317601,0.511771747805267,0.111111111111111,0.512492504497302,0.598173515981735,6.33333333333333,FALSE,3,16
"Amal McCaskill",114,4,968,81,215,0,3,81,212,42,69,75,138,213,36,24,36,52,132,204,8.49122807017544,0.376744186046512,0,0.382075471698113,0.608695652173913,1.78947368421053,FALSE,3,4
"Amar'e Stoudemire",905,711,27499,6184,11499,30,131,6154,11368,4276,5630,2139,4822,6961,1095,665,1092,2031,2846,16674,30.385635359116,0.537785894425602,0.229007633587786,0.541344123856439,0.759502664298401,18.4243093922652,FALSE,3,14
"Andray Blatche",564,191,12462,2327,4981,52,219,2275,4762,1000,1380,1043,1981,3024,798,492,458,914,1382,5706,22.0957446808511,0.467175266010841,0.237442922374429,0.477740445191096,0.72463768115942,10.1170212765957,FALSE,3,9
"Andrea Bargnani",550,377,15806,2932,6676,627,1771,2305,4905,1382,1677,530,2011,2541,653,207,470,851,1338,7873,28.7381818181818,0.439185140802876,0.354037267080745,0.469928644240571,0.824090638044126,14.3145454545455,FALSE,3,10
"Andrew Bynum",444,338,11206,2011,3671,1,9,2010,3662,1024,1480,1060,2306,3366,519,139,686,678,1059,5047,25.2387387387387,0.547807137019886,0.111111111111111,0.548880393227744,0.691891891891892,11.3671171171171,FALSE,3,8
"Andrew DeClercq",634,285,10949,1256,2483,0,2,1256,2481,674,1073,1129,1614,2743,370,440,330,604,1950,3186,17.2697160883281,0.505839710028192,0,0.506247480854494,0.628145386766076,5.02523659305994,FALSE,3,10
"Andrew Lang",808,449,17709,2133,4575,6,25,2127,4550,991,1320,1341,2625,3966,489,374,1225,821,2278,5263,21.9170792079208,0.466229508196721,0.24,0.467472527472527,0.750757575757576,6.51361386138614,FALSE,3,12
"Andris Biedriņš",516,311,11146,1432,2409,0,2,1432,2407,383,766,1190,2441,3631,467,331,580,479,1626,3247,21.6007751937984,0.594437525944375,0,0.594931449937682,0.5,6.29263565891473,FALSE,3,10
"Anthony Mason",882,559,30605,3583,7033,2,12,3581,7021,2488,3511,1912,5367,7279,2963,648,244,1549,2353,9656,34.6995464852608,0.509455424427698,0.166666666666667,0.510041304657456,0.70863001993734,10.9478458049887,FALSE,3,13
"Anthony Randolph",292,46,4431,800,1758,21,87,779,1671,473,647,378,860,1238,220,172,248,351,518,2094,15.1746575342466,0.455062571103527,0.241379310344828,0.466187911430281,0.731066460587326,7.17123287671233,FALSE,3,6
"Antoine Carr",1064,172,21507,4019,8007,6,53,4013,7954,2081,2662,1266,2440,3706,1205,391,993,1312,3310,10125,20.2133458646617,0.501935806169602,0.113207547169811,0.50452602464169,0.781743050338092,9.51597744360902,FALSE,3,16
"Antonio Davis",1027,642,29594,3535,7970,2,24,3533,7946,2893,3979,2620,5014,7634,1175,490,964,1511,2882,9965,28.8159688412853,0.443538268506901,0.0833333333333333,0.444626227032469,0.727067102287007,9.70301850048686,FALSE,3,13
"Antonio McDyess",1057,665,28980,5172,10429,7,60,5165,10369,2166,3247,2548,5347,7895,1336,819,1126,1680,3194,12517,27.4172185430464,0.495924825007191,0.116666666666667,0.498119394348539,0.667077302125038,11.8420056764428,FALSE,3,15
"Arvydas Sabonis",470,314,11375,2082,4160,136,415,1946,3745,1329,1690,734,2702,3436,964,370,494,837,1290,5629,24.2021276595745,0.500480769230769,0.327710843373494,0.519626168224299,0.786390532544379,11.9765957446809,TRUE,3,7
"Audie Norris",187,14,2585,283,554,0,3,283,551,253,382,197,379,576,147,85,69,247,513,819,13.8235294117647,0.510830324909747,0,0.513611615245009,0.662303664921466,4.37967914438503,FALSE,3,3
"Ben Coleman",297,66,5110,809,1582,0,8,809,1574,469,617,421,857,1278,190,137,140,429,843,2087,17.2053872053872,0.511378002528445,0,0.513977128335451,0.760129659643436,7.02693602693603,FALSE,3,5
"Ben Wallace",1160,984,34290,2707,5773,7,55,2700,5718,1181,2848,3678,7408,11086,1542,1457,2254,1128,2199,6602,29.5603448275862,0.468906980772562,0.127272727272727,0.472193074501574,0.414676966292135,5.69137931034483,TRUE,3,16
"Benoit Benjamin",1019,756,26797,4401,8863,1,24,4400,8839,2465,3430,1808,5726,7534,1275,652,1859,2304,2834,11268,26.297350343474,0.496558727293242,0.0416666666666667,0.497793868084625,0.71865889212828,11.0578999018646,FALSE,3,15
"Bill Garnett",300,62,5260,572,1167,0,9,572,1158,494,686,468,830,1298,393,159,173,332,832,1638,17.5333333333333,0.490145672664953,0,0.493955094991364,0.720116618075802,5.46,FALSE,3,4
"Bill Laimbeer",1148,NA,35785,5839,11734,206,632,5633,11102,2624,3148,3053,7964,11017,2284,749,1029,1715,3929,14508,31.1716027874564,0.497613771944776,0.325949367088608,0.507386056566384,0.833545108005083,12.6376306620209,FALSE,3,14
"Bill Wennington",720,88,9740,1379,3006,5,36,1374,2970,538,684,688,1460,2148,440,226,248,440,1680,3301,13.5277777777778,0.458749168330007,0.138888888888889,0.462626262626263,0.786549707602339,4.58472222222222,FALSE,3,13
"Bison Dele",413,204,10004,1847,3499,2,14,1845,3485,840,1215,853,1711,2564,440,320,355,822,1297,4536,24.2227602905569,0.527865104315519,0.142857142857143,0.529411764705882,0.691358024691358,10.9830508474576,FALSE,3,8
"Blair Rasmussen",532,282,11409,2248,4767,9,35,2239,4732,614,801,913,2093,3006,467,210,484,460,1623,5119,21.4454887218045,0.471575414306692,0.257142857142857,0.473161453930685,0.766541822721598,9.62218045112782,FALSE,3,8
"Bo Outlaw",997,388,22668,2171,3833,4,40,2167,3793,1000,1939,1832,2969,4801,1568,925,1285,1152,2369,5346,22.7362086258776,0.566397078006783,0.1,0.571315581334036,0.515729757607014,5.36208625877633,FALSE,3,15
"Brad Daugherty",548,546,20029,3823,7189,2,14,3821,7175,2741,3670,1207,4020,5227,2028,422,397,1511,1466,10389,36.5492700729927,0.531784671025177,0.142857142857143,0.532543554006969,0.746866485013624,18.9580291970803,FALSE,3,8
"Brad Miller",1014,716,28900,4104,8521,227,673,3877,7848,3152,3928,2110,5255,7365,2856,767,669,1612,2850,11587,28.5009861932939,0.481633611078512,0.337295690936107,0.49401121304791,0.80244399185336,11.4270216962525,FALSE,3,14
"Brandon Bass",758,283,16410,2558,5125,12,58,2546,5067,1447,1740,1139,2309,3448,608,295,479,718,1375,6575,21.6490765171504,0.499121951219512,0.206896551724138,0.502466942964279,0.831609195402299,8.67414248021108,FALSE,3,12
"Brendan Haywood",893,616,21035,2386,4490,0,5,2386,4485,1470,2491,2359,3231,5590,485,346,1267,950,2252,6242,23.555431131019,0.531403118040089,0,0.531995540691193,0.590124448012846,6.98992161254199,FALSE,3,13
"Brian Cook",534,76,6725,1062,2491,328,881,734,1610,253,318,353,966,1319,294,157,154,315,956,2705,12.5936329588015,0.426334805299077,0.372304199772985,0.455900621118012,0.79559748427673,5.06554307116105,FALSE,3,9
"Brian Grant",756,577,21417,3103,6332,6,28,3097,6304,1721,2306,1834,3788,5622,923,455,561,1235,2409,7933,28.3293650793651,0.490050536955148,0.214285714285714,0.49127538071066,0.746313963573287,10.4933862433862,FALSE,3,12
"Brian Scalabrine",520,61,6772,590,1512,180,523,410,989,234,299,275,759,1034,436,157,121,341,819,1594,13.0230769230769,0.39021164021164,0.344168260038241,0.414560161779575,0.782608695652174,3.06538461538462,FALSE,3,11
"Brian Skinner",722,225,12795,1380,2784,2,7,1378,2777,538,984,1102,2247,3349,361,312,624,604,1491,3300,17.7216066481994,0.495689655172414,0.285714285714286,0.496218941303565,0.546747967479675,4.57063711911357,FALSE,3,14
"Bruno Šundov",107,4,557,83,232,5,24,78,208,13,25,34,83,117,19,15,14,33,115,184,5.20560747663551,0.357758620689655,0.208333333333333,0.375,0.52,1.7196261682243,FALSE,3,7
"Bryant Reeves",395,341,12071,1999,4208,2,27,1997,4181,945,1345,856,1889,2745,623,200,302,744,1365,4945,30.5594936708861,0.47504752851711,0.0740740740740741,0.477636928964363,0.702602230483271,12.5189873417722,FALSE,3,6
"Byron Mullens",234,66,3860,630,1531,144,437,486,1094,183,265,224,658,882,167,89,109,214,399,1587,16.4957264957265,0.411495754408883,0.329519450800915,0.444241316270567,0.690566037735849,6.78205128205128,FALSE,3,5
"Calvin Booth",480,113,5917,646,1417,2,10,644,1407,329,444,427,947,1374,201,146,499,250,912,1623,12.3270833333333,0.455892731122089,0.2,0.45771144278607,0.740990990990991,3.38125,FALSE,3,10
"Carlos Boozer",861,775,26901,5847,11221,1,14,5846,11207,2281,3158,2037,6155,8192,1928,765,346,1824,2612,13976,31.2439024390244,0.521076552891899,0.0714285714285714,0.52163826180066,0.722292590246992,16.2322880371661,FALSE,3,13
"Carlos Rogers",319,55,6030,935,1749,32,126,903,1623,406,722,538,801,1339,200,138,243,311,550,2308,18.9028213166144,0.534591194968553,0.253968253968254,0.55637707948244,0.562326869806094,7.23510971786834,FALSE,3,8
"Charles Jones",1043,449,18909,1262,2701,59,194,1203,2507,728,1176,1478,2821,4299,990,610,1331,803,2575,3311,18.1294343240652,0.467234357645317,0.304123711340206,0.479856402074192,0.619047619047619,3.1744966442953,FALSE,3,15
"Charles Oakley",1282,1159,40280,4835,10263,68,269,4767,9994,2679,3522,3924,8281,12205,3217,1351,384,2785,4421,12417,31.4196567862714,0.471109811945825,0.252788104089219,0.476986191715029,0.760647359454855,9.68564742589704,FALSE,3,19
"Charles Shackleford",303,105,4614,698,1444,0,5,698,1439,229,350,497,951,1448,170,119,148,276,664,1625,15.2277227722772,0.483379501385042,0,0.485059068797776,0.654285714285714,5.36303630363036,FALSE,3,6
"Cherokee Parks",537,182,8513,1002,2122,8,44,994,2078,343,539,635,1297,1932,311,232,342,322,1053,2355,15.852886405959,0.472196041470311,0.181818181818182,0.478344562078922,0.636363636363636,4.3854748603352,FALSE,3,9
"Chris Andersen",722,60,12675,1374,2584,19,82,1355,2502,1093,1668,1212,2379,3591,349,327,1004,522,1371,3860,17.5554016620499,0.531733746130031,0.231707317073171,0.541566746602718,0.655275779376499,5.34626038781163,FALSE,3,15
"Chris Anstey",155,23,2157,303,734,4,29,299,705,203,269,178,356,534,127,78,65,147,373,813,13.9161290322581,0.412806539509537,0.137931034482759,0.424113475177305,0.754646840148699,5.24516129032258,FALSE,3,3
"Chris Bosh",893,881,31936,6209,12581,305,910,5904,11671,4466,5591,1927,5665,7592,1795,730,932,1807,2159,17189,35.7625979843225,0.493521977585248,0.335164835164835,0.505869248564819,0.798783759613665,19.2486002239642,TRUE,3,13
"Chris Dudley",950,361,17677,1537,3735,0,5,1537,3730,749,1690,2408,3472,5880,414,375,1099,824,2492,3823,18.6073684210526,0.411512717536814,0,0.412064343163539,0.443195266272189,4.02421052631579,FALSE,3,16
"Chris Engler",236,2,1682,169,407,0,0,169,407,84,124,172,301,473,53,39,58,105,312,422,7.1271186440678,0.415233415233415,NA,0.415233415233415,0.67741935483871,1.78813559322034,FALSE,3,5
"Chris Gatling",951,92,19056,3939,7726,70,286,3869,7440,2252,3388,1717,3492,5209,635,653,479,1515,2589,10200,20.0378548895899,0.509836914315299,0.244755244755245,0.52002688172043,0.66469893742621,10.7255520504732,FALSE,3,11
"Chris Johnson",288,8,3710,398,940,132,434,266,506,181,231,153,401,554,126,140,102,158,413,1109,12.8819444444444,0.423404255319149,0.304147465437788,0.525691699604743,0.783549783549784,3.85069444444444,FALSE,3,4
"Chris Kaman",735,538,19642,3432,7023,1,24,3431,6999,1343,1808,1487,4095,5582,921,322,931,1544,1968,8208,26.7238095238095,0.488680051260145,0.0416666666666667,0.490212887555365,0.742809734513274,11.1673469387755,FALSE,3,13
"Chris Mihm",512,273,10088,1439,3112,3,13,1436,3099,863,1235,1021,1694,2715,244,165,507,625,1472,3744,19.703125,0.462403598971722,0.230769230769231,0.463375282349145,0.698785425101215,7.3125,FALSE,3,8
"Chris Washburn",109,2,905,129,307,0,1,129,306,54,113,92,159,251,28,16,24,73,109,312,8.30275229357798,0.420195439739414,0,0.42156862745098,0.47787610619469,2.86238532110092,FALSE,3,2
"Chris Webber",959,954,35038,8036,16946,283,938,7753,16008,2817,4294,2525,6648,9173,4032,1351,1294,2602,3057,19172,36.5359749739312,0.474212203469845,0.301705756929638,0.484320339830085,0.656031672100606,19.9916579770594,TRUE,3,15
"Chris Welp",136,6,1371,163,375,0,1,163,374,98,141,106,207,313,52,40,62,81,317,424,10.0808823529412,0.434666666666667,0,0.435828877005348,0.695035460992908,3.11764705882353,FALSE,3,3
"Chris Wilcox",767,291,15052,2542,4704,0,24,2542,4680,1139,1767,1184,2579,3763,554,381,296,852,1837,6223,19.6245110821382,0.540391156462585,0,0.543162393162393,0.644595359366157,8.11342894393742,FALSE,3,11
"Christian Laettner",1020,811,29918,4755,9863,105,405,4650,9458,3451,4204,1923,4786,6709,2545,1059,792,2256,3286,13066,29.3313725490196,0.482104836256717,0.259259259259259,0.49164728272362,0.820884871550904,12.8098039215686,FALSE,3,13
"Chuck Hayes",705,245,12569,1103,2234,0,15,1103,2219,336,535,1188,2265,3453,816,512,249,494,1580,2542,17.8283687943262,0.49373321396598,0,0.497070752591257,0.62803738317757,3.60567375886525,FALSE,3,11
"Chuck Nevitt",184,0,952,114,269,0,0,114,269,72,116,95,176,271,26,22,130,92,246,300,5.17391304347826,0.423791821561338,NA,0.423791821561338,0.620689655172414,1.6304347826087,FALSE,3,9
"Clifford Robinson",1451,873,44250,7591,17398,1320,3708,6271,13690,3622,5262,1906,4609,6515,3198,1464,1443,2568,4356,20124,30.4962095106823,0.43631451891022,0.355987055016181,0.458071585098612,0.688331432915241,13.86905582357,FALSE,3,18
"Clifford Rozier",215,93,3721,429,879,2,13,427,866,156,330,478,653,1131,129,102,157,191,532,1016,17.306976744186,0.488054607508532,0.153846153846154,0.493071593533487,0.472727272727273,4.72558139534884,FALSE,3,4
"Corie Blount",808,89,12810,1240,2685,5,38,1235,2647,460,788,1422,2094,3516,586,438,328,656,1749,2945,15.8539603960396,0.461824953445065,0.131578947368421,0.466565923687193,0.583756345177665,3.64480198019802,FALSE,3,11
"D.J. Mbenga",276,4,1892,219,467,0,2,219,465,59,101,157,266,423,51,44,167,99,356,497,6.85507246376812,0.468950749464668,0,0.470967741935484,0.584158415841584,1.80072463768116,FALSE,3,7
"D.J. White",185,11,2796,459,906,1,5,458,901,159,221,160,435,595,99,51,77,79,276,1078,15.1135135135135,0.506622516556291,0.2,0.508324084350721,0.719457013574661,5.82702702702703,FALSE,3,6
"Dale Davis",1155,891,30913,3704,7013,0,8,3704,7005,1582,2807,3455,5525,8980,1025,723,1335,1133,3040,8990,26.7645021645022,0.528161984885213,0,0.52876516773733,0.56359102244389,7.78354978354978,FALSE,3,16
"Dan Gadzuric",569,173,8256,1103,2229,0,9,1103,2220,377,764,981,1480,2461,210,255,477,386,1341,2583,14.5096660808436,0.494840735755944,0,0.496846846846847,0.493455497382199,4.53954305799649,FALSE,3,10
"Daniel Santiago",122,30,1418,153,326,0,0,153,326,111,162,76,184,260,38,39,47,85,231,417,11.6229508196721,0.469325153374233,NA,0.469325153374233,0.685185185185185,3.41803278688525,FALSE,3,4
"Danny Fortson",440,175,8832,1196,2534,2,12,1194,2522,1221,1556,1195,1989,3184,301,182,94,655,1553,3615,20.0727272727273,0.471981057616417,0.166666666666667,0.473433782712133,0.784704370179949,8.21590909090909,FALSE,3,10
"Danny Schayes",1256,483,24622,3364,7061,4,31,3360,7030,3045,3788,2050,4335,6385,1517,624,948,1848,3864,9777,19.6035031847134,0.476419770570741,0.129032258064516,0.477951635846373,0.803854276663147,7.78423566878981,FALSE,3,18
"Darius Songaila",495,79,9229,1449,2904,3,19,1446,2885,514,609,553,1136,1689,589,324,106,486,1197,3415,18.6444444444444,0.49896694214876,0.157894736842105,0.501213171577123,0.844006568144499,6.8989898989899,FALSE,3,8
"Darko Miličić",555,227,10090,1415,3040,0,9,1415,3031,464,812,719,1554,2273,493,242,724,659,1239,3294,18.1801801801802,0.46546052631579,0,0.466842626195975,0.571428571428571,5.93513513513513,FALSE,3,10
"Darren Tillis",176,9,1782,260,616,0,4,260,612,73,119,157,287,444,60,28,120,95,328,593,10.125,0.422077922077922,0,0.42483660130719,0.61344537815126,3.36931818181818,FALSE,3,2
"Dave Feitl",275,58,3001,471,1089,0,9,471,1080,250,333,241,574,815,125,46,46,234,439,1192,10.9127272727273,0.432506887052342,0,0.436111111111111,0.750750750750751,4.33454545454545,FALSE,3,5
"Dave Hoppen",238,54,3198,434,856,1,8,433,848,254,329,296,564,860,135,59,36,188,505,1123,13.436974789916,0.507009345794392,0.125,0.51061320754717,0.772036474164134,4.71848739495798,FALSE,3,6
"David Andersen",143,0,1637,259,582,43,124,216,458,74,111,94,282,376,70,25,30,81,199,635,11.4475524475524,0.445017182130584,0.346774193548387,0.471615720524017,0.666666666666667,4.44055944055944,FALSE,3,2
"David Harrison",189,33,2686,374,706,0,0,374,706,201,383,184,365,549,47,64,185,216,538,949,14.2116402116402,0.529745042492918,NA,0.529745042492918,0.524804177545692,5.02116402116402,FALSE,3,4
"David Robinson",987,985,34271,7365,14221,25,100,7340,14121,6035,8201,3083,7414,10497,2441,1388,2954,2417,2835,20790,34.7223910840932,0.517896069193446,0.25,0.519793215777919,0.735885867577125,21.063829787234,TRUE,3,14
"Dean Garrett",393,210,7152,740,1559,0,0,740,1559,293,436,613,1254,1867,209,175,382,213,719,1773,18.1984732824427,0.474663245670301,NA,0.474663245670301,0.672018348623853,4.51145038167939,FALSE,3,6
"DeJuan Blair",424,179,7054,1242,2371,0,9,1242,2362,381,627,810,1343,2153,349,316,127,471,1003,2865,16.6367924528302,0.523829607760439,0,0.525825571549534,0.607655502392344,6.75707547169811,FALSE,3,7
