"player","g","gs","mp","fg","fga","x3p","x3pa","x2p","x2pa","ft","fta","orb","drb","trb","ast","stl","blk","tov","pf","pts"
"A.C. Green",1361,905,39044,4778,9686,125,509,4653,9177,3247,4447,3576,6553,10129,1469,1103,562,1508,2581,12928
"A.J. Bramlett",8,0,61,4,21,0,0,4,21,0,0,12,10,22,0,1,0,3,13,8
"A.J. English",151,18,3108,617,1418,9,65,608,1353,259,333,140,175,315,320,57,24,203,287,1502
"A.J. Green",24,0,219,37,84,28,70,9,14,4,4,4,22,26,11,5,0,7,23,106
"A.J. Guyton",80,14,1246,166,440,73,193,93,247,37,45,22,58,80,147,20,12,62,58,442
"A.J. Hammons",22,0,163,17,42,5,10,12,32,9,20,8,28,36,4,1,13,10,21,48
"A.J. Lawson",20,0,54,12,24,6,14,6,10,2,6,0,8,8,2,0,0,0,6,32
"A.J. Price",287,25,4253,600,1581,233,747,367,834,223,303,74,335,409,613,132,9,243,252,1656
"A.J. Wynder",6,0,39,3,12,0,1,3,11,6,8,1,2,3,8,1,0,4,1,12
"A.W. Holt",6,NA,14,1,8,NA,NA,1,8,2,3,NA,NA,4,0,NA,NA,NA,1,4
"Aaron Brooks",829,227,17277,2857,6962,1036,2836,1821,4126,1164,1382,330,1047,1377,2505,475,113,1283,1572,7914
"Aaron Gordon",624,535,18050,3129,6670,691,2111,2438,4559,1328,1929,1031,2877,3908,1599,457,404,963,1230,8277
"Aaron Gray",387,93,4517,509,1007,0,4,509,1003,217,379,518,889,1407,251,113,106,314,796,1235
"Aaron Harrison",35,3,343,24,92,12,55,12,37,19,31,8,34,42,16,15,2,7,39,79
"Aaron Henry",6,0,17,1,5,0,1,1,4,0,0,0,1,1,0,0,2,2,2,2
"Aaron Holiday",354,76,6182,885,2114,305,806,580,1308,325,384,109,507,616,804,233,70,354,536,2400
"Aaron Jackson",1,0,35,3,9,1,4,2,5,1,2,2,1,3,1,0,0,1,4,8
"Aaron James",356,NA,7671,1609,3347,NA,NA,1609,3347,611,804,549,921,1470,370,158,69,NA,972,3829
